asignacion_id,fecha,bloque_noche,elegible_antes_asignacion,variante,mensaje,prepedido_completado,espera_entrega_min,cancelacion,valor_pedido_mxn
L9-X001,2027-11-03,L9-N041,1,A,confirmación_simple,1,7.8,0,258.65
L9-X002,2027-11-04,L9-N042,1,B,confirmación_con_ventana,1,6.6,0,216.03
L9-X003,2027-11-05,L9-N043,1,A,confirmación_simple,1,6.0,0,183.49
L9-X004,2027-11-06,L9-N044,1,A,confirmación_simple,0,9.8,0,0.0
L9-X005,2027-11-07,L9-N045,1,B,confirmación_con_ventana,1,6.5,0,249.34
L9-X006,2027-11-10,L9-N046,1,B,confirmación_con_ventana,1,6.5,0,208.91
L9-X007,2027-11-11,L9-N047,1,B,confirmación_con_ventana,1,5.2,0,171.14
L9-X008,2027-11-12,L9-N048,1,A,confirmación_simple,1,6.0,0,222.22
L9-X009,2027-11-13,L9-N049,1,B,confirmación_con_ventana,1,7.9,0,282.02
L9-X010,2027-11-14,L9-N050,1,A,confirmación_simple,0,6.8,1,0.0
L9-X011,2027-11-17,L9-N051,1,A,confirmación_simple,1,6.0,0,150.21
L9-X012,2027-11-18,L9-N052,1,A,confirmación_simple,1,7.2,0,238.05
L9-X013,2027-11-19,L9-N053,1,B,confirmación_con_ventana,1,5.6,0,237.65
L9-X014,2027-11-20,L9-N054,1,A,confirmación_simple,0,9.4,0,0.0
L9-X015,2027-11-21,L9-N055,1,B,confirmación_con_ventana,0,6.6,0,0.0
L9-X016,2027-11-24,L9-N056,1,B,confirmación_con_ventana,0,5.5,0,0.0
L9-X017,2027-11-25,L9-N057,1,B,confirmación_con_ventana,0,6.5,0,0.0
L9-X018,2027-11-26,L9-N058,1,A,confirmación_simple,1,8.1,0,256.19
L9-X019,2027-11-27,L9-N059,1,B,confirmación_con_ventana,1,7.3,0,263.26
L9-X020,2027-11-28,L9-N060,1,A,confirmación_simple,1,8.9,0,212.29
L9-X021,2027-12-01,L9-N061,1,B,confirmación_con_ventana,1,8.7,0,255.34
L9-X022,2027-12-02,L9-N062,1,B,confirmación_con_ventana,1,8.0,0,264.89
L9-X023,2027-12-03,L9-N063,1,A,confirmación_simple,0,7.3,0,0.0
